task_name,seed,env,ordering,call_index,function_name,stage,elapsed_sec,memory_mb,function_eval_requests_so_far,rank_profile_json,rank_max,rank_mean,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,rank_26,rank_27,rank_28,rank_29,rank_30,rank_31,rank_32,rank_33,rank_34,rank_35
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,23,get_advantage_from_value,after_cross_before_round,8.868450155481696,16.246272,2861034,"[31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 2]",31,30.17142857142857,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,23,get_advantage_from_value,after_round,8.964005033485591,9.526272,2861034,"[3, 4, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 6, 6, 7, 7, 8, 8, 8, 7, 8, 6, 8, 7, 8, 6, 6, 4, 2]",8,5.457142857142857,3,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,6,6,7,7,8,8,8,7,8,6,8,7,8,6,6,4,2
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,24,bellman_operator,after_cross_before_round,5.784197027795017,9.880576,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,24,bellman_operator,after_round,5.789414181374013,9.802752,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,25,get_advantage_from_value,after_cross_before_round,5.45729112252593,13.001216,1122550,"[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 2]",21,20.457142857142856,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,25,get_advantage_from_value,after_round,5.519592383876443,9.895936,1122550,"[3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 2, 2]",4,3.4,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,2,2
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,26,bellman_operator,after_cross_before_round,4.775807788595557,9.316352,120960,"[11, 11, 11]",11,11.0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,26,bellman_operator,after_round,4.78093893174082,9.238528,120960,"[3, 3, 2]",3,2.6666666666666665,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,27,get_advantage_from_value,after_cross_before_round,17.248916055075824,27.846656,10545282,"[40, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 2]",51,49.285714285714285,40,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2
HM16_state40_action50_iter30_orderlocal_seed8_formal5080,8,HM16,local,27,get_advantage_from_value,after_round,17.46533220168203,9.44128,10545282,"[3, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 6, 6, 7, 6, 7, 6, 7, 5, 7, 6, 7, 6, 5, 4, 2]",7,5.085714285714285,3,5,5,4,5,4,5,4,5,4,5,4,5,5,5,4,5,4,5,5,6,6,7,6,7,6,7,5,7,6,7,6,5,4,2
