run_id,env,ordering,seed,status,oom,error_type,peak_memory_mb,ordering_search_time_sec,ttpi_training_time_sec,total_time_sec,success_rate,avg_return,mu,tt_cross_calls,tt_cross_function_evals,queried_points_total,queries_per_completed_pi,last_completed_pi,adv_rank_auc,val_rank_auc,adv_rank_final,val_rank_final,adv_rank_max_over_run,val_rank_max_over_run,cross_process_rank_max,pam_order_objective,pam_order_peak_cut_objective,pam_order_rankaware_proxy_objective
HM8_state40_action50_iter30_orderhybrid_pam_seed6_formal5080,HM8,hybrid_pam,6,ok,False,,2013.610496,0.0064623355865478516,160.06874060630798,160.07520294189453,0.65,-237227329.3434639,0.7428850724067307,61,27670238,27670238,922341.2666666667,30,135.5,85.5,8.0,3.0,8.0,3.0,31.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderhybrid_pam_seed7_formal5080,HM8,hybrid_pam,7,ok,False,,2756.146176,0.006526947021484375,162.5203239917755,162.526850938797,0.91,-220582747.17663038,0.7378994216975527,61,30001970,30001970,1000065.6666666666,30,132.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderhybrid_pam_seed8_formal5080,HM8,hybrid_pam,8,ok,False,,4239.694336,0.006278514862060547,167.0679647922516,167.07424330711365,0.5700000000000001,-265381094.49707392,0.8509876588781903,61,34123594,34123594,1137453.1333333333,30,135.0,85.5,7.0,3.0,7.0,3.0,51.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderhybrid_pam_seed9_formal5080,HM8,hybrid_pam,9,ok,False,,2756.136448,0.006282806396484375,159.43514347076416,159.44142627716064,0.29,-274264864.6993632,0.6809728761965081,61,27691334,27691334,923044.4666666667,30,134.0,85.5,7.0,3.0,7.0,3.0,41.0,336.0,30.0,53.6882932872699
HM8_state40_action50_iter30_orderlocal_seed0_formal5080,HM8,local,0,ok,False,,2756.276224,0.00641942024230957,170.1813178062439,170.1877372264862,0.43,-247335662.7737755,0.7024663894426205,61,30001970,30001970,1000065.6666666666,30,138.5,85.5,8.0,3.0,9.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed1_formal5080,HM8,local,1,ok,False,,2421.324288,0.006314992904663086,164.98222422599792,164.9885392189026,0.58,-268865777.19308203,0.9561122891604952,61,28103010,28103010,936767.0,30,137.0,85.5,7.0,3.0,8.0,3.0,31.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed2_formal5080,HM8,local,2,ok,False,,2756.058112,0.0065915584564208984,163.38580584526062,163.39239740371704,0.63,-260995994.03205192,0.6214417481446467,61,29063038,29063038,968767.9333333333,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed3_formal5080,HM8,local,3,ok,False,,2425.631744,0.0063571929931640625,170.15372252464294,170.1600797176361,0.39,-267798859.0518883,0.889995214349244,61,29474714,29474714,982490.4666666667,30,139.0,85.5,7.0,3.0,8.0,3.0,31.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed4_formal5080,HM8,local,4,ok,False,,2756.071424,0.006371974945068359,170.90754628181458,170.91391825675964,0.64,-271450900.9586648,0.8007502676596491,61,31110046,31110046,1037001.5333333333,30,139.0,85.5,7.0,3.0,8.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed5_formal5080,HM8,local,5,ok,False,,4239.599616,0.006278038024902344,168.769056558609,168.7753345966339,0.48,-273322699.2303631,0.718906860588172,61,36191698,36191698,1206389.9333333333,30,137.0,85.5,7.0,3.0,7.0,3.0,51.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed6_formal5080,HM8,local,6,ok,False,,2757.072896,0.006237983703613281,161.29820585250854,161.30444383621216,0.52,-238339538.55115014,0.7766852901898258,61,28050718,28050718,935023.9333333333,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed7_formal5080,HM8,local,7,ok,False,,2756.241408,0.006052494049072266,160.1925868988037,160.19863939285278,0.78,-238497582.2506839,0.8694913267190447,61,29495810,29495810,983193.6666666666,30,138.0,85.5,9.0,3.0,9.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed8_formal5080,HM8,local,8,ok,False,,2756.1856,0.006272792816162109,159.4311990737915,159.43747186660767,0.66,-250510243.722782,0.7656952090992636,61,28366638,28366638,945554.6,30,137.0,85.5,7.0,3.0,7.0,3.0,41.0,448.0,46.0,58.29533159388881
HM8_state40_action50_iter30_orderlocal_seed9_formal5080,HM8,local,9,ok,False,,2437.499904,0.006815910339355469,164.33903574943542,164.34585165977478,0.46,-256884703.416585,0.9156552015131745,61,25359602,25359602,845320.0666666667,30,138.0,85.5,7.0,3.0,8.0,3.0,31.0,448.0,46.0,58.29533159388881
