env,ordering,state_index,state_type,cut,singular_index,singular_value,exact_unfolding,matrix_rows,matrix_cols,used_rows,used_cols
HM8,local,0,easy,6,15,6.20269961375162e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,16,4.72146655578721e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,17,4.193594445089883e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,18,3.895965546868653e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,19,3.6931795136887565e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,20,3.4170481691074943e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,21,2.832169987424405e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,22,2.5738504782568813e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,23,2.2631710717513396e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,24,2.137433241892671e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,25,1.908754205149444e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,26,1.850553036173124e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,27,1.7310176672781172e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,28,1.649938859935576e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,29,1.4968958418413511e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,30,1.4201740860463733e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,31,1.2084823568372142e-09,False,13824,7962624,512,512
HM8,local,0,easy,6,32,1.1264493166233183e-09,False,13824,7962624,512,512
HM8,local,0,easy,7,1,35587998.86861495,False,165888,663552,512,512
HM8,local,0,easy,7,2,196487.26567948118,False,165888,663552,512,512
HM8,local,0,easy,7,3,20175.76668226216,False,165888,663552,512,512
HM8,local,0,easy,7,4,2.2168425420937444e-08,False,165888,663552,512,512
HM8,local,0,easy,7,5,1.986441308627796e-08,False,165888,663552,512,512
HM8,local,0,easy,7,6,1.4687264759513828e-08,False,165888,663552,512,512
HM8,local,0,easy,7,7,1.3773435594960374e-08,False,165888,663552,512,512
HM8,local,0,easy,7,8,1.3055144140086365e-08,False,165888,663552,512,512
HM8,local,0,easy,7,9,1.0087892138495356e-08,False,165888,663552,512,512
HM8,local,0,easy,7,10,9.551086421398289e-09,False,165888,663552,512,512
HM8,local,0,easy,7,11,8.384575820329693e-09,False,165888,663552,512,512
HM8,local,0,easy,7,12,6.976976949923977e-09,False,165888,663552,512,512
HM8,local,0,easy,7,13,5.683908896887053e-09,False,165888,663552,512,512
HM8,local,0,easy,7,14,4.5055082840636404e-09,False,165888,663552,512,512
HM8,local,0,easy,7,15,3.396760356286578e-09,False,165888,663552,512,512
HM8,local,0,easy,7,16,3.2461424052498677e-09,False,165888,663552,512,512
HM8,local,0,easy,7,17,2.8006018005359264e-09,False,165888,663552,512,512
HM8,local,0,easy,7,18,2.7069807220483726e-09,False,165888,663552,512,512
HM8,local,0,easy,7,19,2.4280810393296733e-09,False,165888,663552,512,512
HM8,local,0,easy,7,20,2.3014633113150795e-09,False,165888,663552,512,512
HM8,local,0,easy,7,21,2.198536320782187e-09,False,165888,663552,512,512
HM8,local,0,easy,7,22,1.99611748608181e-09,False,165888,663552,512,512
HM8,local,0,easy,7,23,1.9002214092149826e-09,False,165888,663552,512,512
HM8,local,0,easy,7,24,1.7729174745530122e-09,False,165888,663552,512,512
HM8,local,0,easy,7,25,1.6886702688661005e-09,False,165888,663552,512,512
HM8,local,0,easy,7,26,1.6506142345244407e-09,False,165888,663552,512,512
HM8,local,0,easy,7,27,1.5614014952006127e-09,False,165888,663552,512,512
HM8,local,0,easy,7,28,1.523622351567245e-09,False,165888,663552,512,512
HM8,local,0,easy,7,29,1.460992602148918e-09,False,165888,663552,512,512
HM8,local,0,easy,7,30,1.3965401846003732e-09,False,165888,663552,512,512
HM8,local,0,easy,7,31,1.3166279941373392e-09,False,165888,663552,512,512
HM8,local,0,easy,7,32,1.299317174524358e-09,False,165888,663552,512,512
HM8,local,0,easy,8,1,35710279.380829476,False,331776,331776,512,512
HM8,local,0,easy,8,2,24327.771796054498,False,331776,331776,512,512
HM8,local,0,easy,8,3,3.600788421351483e-08,False,331776,331776,512,512
HM8,local,0,easy,8,4,2.592406427255479e-08,False,331776,331776,512,512
HM8,local,0,easy,8,5,2.068811793455256e-08,False,331776,331776,512,512
HM8,local,0,easy,8,6,1.8535267319109547e-08,False,331776,331776,512,512
HM8,local,0,easy,8,7,1.7652471293319724e-08,False,331776,331776,512,512
HM8,local,0,easy,8,8,1.3323100898995039e-08,False,331776,331776,512,512
HM8,local,0,easy,8,9,1.2752420411673071e-08,False,331776,331776,512,512
HM8,local,0,easy,8,10,1.1165321652590397e-08,False,331776,331776,512,512
HM8,local,0,easy,8,11,7.869838404060463e-09,False,331776,331776,512,512
HM8,local,0,easy,8,12,7.3301149812130495e-09,False,331776,331776,512,512
HM8,local,0,easy,8,13,6.048058880802933e-09,False,331776,331776,512,512
HM8,local,0,easy,8,14,4.660469438757066e-09,False,331776,331776,512,512
HM8,local,0,easy,8,15,3.979332992318002e-09,False,331776,331776,512,512
HM8,local,0,easy,8,16,3.512933859454721e-09,False,331776,331776,512,512
HM8,local,0,easy,8,17,3.0852242687059152e-09,False,331776,331776,512,512
HM8,local,0,easy,8,18,2.7582121007972172e-09,False,331776,331776,512,512
HM8,local,0,easy,8,19,2.3212000704737817e-09,False,331776,331776,512,512
HM8,local,0,easy,8,20,2.2945453824267045e-09,False,331776,331776,512,512
HM8,local,0,easy,8,21,2.2174021466108343e-09,False,331776,331776,512,512
HM8,local,0,easy,8,22,2.048262739298113e-09,False,331776,331776,512,512
HM8,local,0,easy,8,23,1.9339240739330755e-09,False,331776,331776,512,512
HM8,local,0,easy,8,24,1.888552243696367e-09,False,331776,331776,512,512
HM8,local,0,easy,8,25,1.668117830037e-09,False,331776,331776,512,512
HM8,local,0,easy,8,26,1.6366723985207714e-09,False,331776,331776,512,512
HM8,local,0,easy,8,27,1.5043487452345669e-09,False,331776,331776,512,512
HM8,local,0,easy,8,28,1.4531940705001682e-09,False,331776,331776,512,512
HM8,local,0,easy,8,29,1.3501603970525184e-09,False,331776,331776,512,512
HM8,local,0,easy,8,30,1.2383499275672824e-09,False,331776,331776,512,512
HM8,local,0,easy,8,31,1.1509555904938321e-09,False,331776,331776,512,512
HM8,local,0,easy,8,32,1.1213755469237843e-09,False,331776,331776,512,512
HM8,local,0,easy,9,1,35656971.1363806,False,3981312,27648,512,512
HM8,local,0,easy,9,2,195488.57725759508,False,3981312,27648,512,512
HM8,local,0,easy,9,3,20941.04549799464,False,3981312,27648,512,512
HM8,local,0,easy,9,4,3.4369465398865433e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,5,2.843456539551793e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,6,2.747802562124527e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,7,1.9101082768433312e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,8,1.753465604259272e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,9,1.6100875462708906e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,10,1.3243334221380394e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,11,1.1202076335037724e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,12,1.0420424848046263e-08,False,3981312,27648,512,512
HM8,local,0,easy,9,13,7.951239725552173e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,14,7.617715073655485e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,15,6.626212537163872e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,16,4.0641055568151044e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,17,3.851109109811078e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,18,3.183773269849129e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,19,2.8299573660724924e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,20,2.6818907763065954e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,21,2.5856599301057826e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,22,2.2657188079159422e-09,False,3981312,27648,512,512
HM8,local,0,easy,9,23,2.2035923473004557e-09,False,3981312,27648,512,512
